COMMUNITYDISTRICT,IC_Medical,IC_Assist Civilian,IC_Utility Emergency,IC_Alarm System,IC_Elevator Emergency,IC_Odor,IC_Non-Medical MFA,IC_Multiple Dwelling A,IC_Carbon Monoxide,IC_Vehicle Accident,IC_Private Dwelling Fire,lat,lon,2010 Population,Community District Name,Borough,Medical Norm,Assist Civilian Norm,Utility Emergency Norm,Private Dwelling Fire Norm,Response Time,Travel Time
101,933,122,93,402,166,68,67,23,21,8,2,40.70737970801724,-74.01199747186135,60978,"Battery Park City, Tribeca, Manhattan",Manhattan,1530.0,200.0,153.0,3.0,5.77,5.2
102,1413,175,173,481,119,155,65,52,41,15,4,40.72984081678562,-74.00155866996083,90016,"Greenwich Village, Soho, Manhattan",Manhattan,1570.0,194.0,192.0,4.0,5.22,4.63
103,2879,414,515,337,512,211,94,129,112,17,1,40.71959647753811,-73.98554111736549,163277,"Lower East Side, Chinatown, Manhattan",Manhattan,1763.0,254.0,315.0,1.0,5.98,5.43
104,2478,300,222,502,276,138,135,71,54,36,1,40.755421651457944,-73.99753664222618,103245,"Chelsea, Clinton, Manhattan",Manhattan,2400.0,291.0,215.0,1.0,6.5,5.85
105,2917,293,209,1140,314,125,191,28,29,22,1,40.75227573829898,-73.98405712986315,51673,"Midtown Business District, Manhattan",Manhattan,5645.0,567.0,404.0,2.0,6.47,5.82
106,1620,188,184,410,169,100,74,53,37,35,0,40.74465625379436,-73.97457554759761,142745,"Stuyvesant Town, Turtle Bay, Manhattan",Manhattan,1135.0,132.0,129.0,0.0,6.02,5.42
107,2125,271,316,347,281,174,89,97,93,26,1,40.7871660655691,-73.97612616556081,209084,"West Side, Upper West Side, Manhattan",Manhattan,1016.0,130.0,151.0,0.0,6.23,5.58
108,1778,255,269,415,198,201,61,82,70,52,7,40.77156889944981,-73.95571802272228,219920,"Upper East Side, Manhattan",Manhattan,808.0,116.0,122.0,3.0,6.63,5.88
109,1363,217,296,179,213,113,45,77,38,28,0,40.81805286303446,-73.95502993000973,110193,"Manhattanville, Hamilton Heights, Manhattan",Manhattan,1237.0,197.0,269.0,0.0,6.05,5.37
110,2458,375,522,270,597,216,119,169,82,18,0,40.813692091901395,-73.94473612336743,115723,"Central Harlem, Manhattan",Manhattan,2124.0,324.0,451.0,0.0,6.57,5.77
111,2958,337,629,371,644,191,161,170,113,37,2,40.794909410091336,-73.93497920148923,120511,"East Harlem, Manhattan",Manhattan,2455.0,280.0,522.0,2.0,6.2,5.5
112,2512,283,410,194,216,188,75,129,55,39,0,40.85511548235553,-73.93152183538011,190020,"Washington Heights, Inwood, Manhattan",Manhattan,1322.0,149.0,216.0,0.0,6.42,5.72
201,3044,544,500,384,602,130,88,140,70,62,6,40.81090894450413,-73.91646932190727,91497,"Melrose, Mott Haven, Port Morris, Bronx",Bronx,3327.0,595.0,546.0,7.0,6.23,5.52
202,1208,166,148,119,49,76,30,50,21,41,2,40.813331197754906,-73.88787795711748,52246,"Hunts Point, Longwood, Bronx",Bronx,2312.0,318.0,283.0,4.0,6.5,5.75
203,1959,350,410,256,374,131,67,124,50,35,5,40.83255577815732,-73.89865019618762,79762,"Morrisania, Crotona Park East, Bronx",Bronx,2456.0,439.0,514.0,6.0,6.58,5.83
204,2637,387,418,262,272,143,104,158,52,50,1,40.833808240033434,-73.92079715274123,146441,"Highbridge, Concourse Village, Bronx",Bronx,1801.0,264.0,285.0,1.0,6.9,6.13
205,2614,346,381,297,323,138,69,174,45,45,8,40.852746407795365,-73.90957968247189,128200,"University Hts., Fordham, Mt. Hope, Bronx",Bronx,2039.0,270.0,297.0,6.0,6.73,5.97
206,2033,286,303,304,161,105,98,127,47,44,4,40.84960394125996,-73.88753020987713,83268,"East Tremont, Belmont, Bronx",Bronx,2442.0,343.0,364.0,5.0,6.35,5.55
207,2425,260,303,197,233,113,81,145,46,54,6,40.8709749486044,-73.89145669146588,139286,"Bedford Park, Norwood, Fordham, Bronx",Bronx,1741.0,187.0,218.0,4.0,7.37,6.47
208,1158,157,216,147,142,84,38,59,39,40,16,40.890501670887154,-73.90629673416935,101731,"Riverdale, Kingsbridge, Marble Hill, Bronx",Bronx,1138.0,154.0,212.0,16.0,7.27,6.52
209,2343,390,365,210,418,133,122,119,66,67,22,40.824773080902915,-73.86165614110523,172298,"Soundview, Parkchester, Bronx",Bronx,1360.0,226.0,212.0,13.0,7.45,6.7
210,1397,222,268,149,90,156,61,69,76,56,25,40.838625041336705,-73.82181297642315,120392,"Throgs Nk., Co-op City, Pelham Bay, Bronx",Bronx,1160.0,184.0,223.0,21.0,6.62,5.92
211,1698,265,269,142,133,111,69,56,40,39,43,40.856146675581606,-73.85277522914885,113232,"Pelham Pkwy, Morris Park, Laconia, Bronx",Bronx,1500.0,234.0,238.0,38.0,7.17,6.43
212,2186,390,355,223,197,159,116,103,83,96,66,40.88629865612654,-73.8514952509741,152344,"Wakefield, Williamsbridge, Bronx",Bronx,1435.0,256.0,233.0,43.0,7.15,6.37
301,2063,287,297,512,330,166,97,112,116,63,7,40.71683954465738,-73.94717033675674,173083,"Williamsburg, Greenpoint, Brooklyn",Brooklyn,1192.0,166.0,172.0,4.0,5.3,4.72
302,2052,286,236,526,281,131,110,81,83,49,21,40.69349119291208,-73.97872475103914,99617,"Brooklyn Heights, Fort Greene, Brooklyn",Brooklyn,2060.0,287.0,237.0,21.0,5.55,4.93
303,2504,361,478,304,345,148,110,152,126,46,32,40.68768622299727,-73.94056166899463,152985,"Bedford Stuyvesant, Brooklyn",Brooklyn,1637.0,236.0,312.0,21.0,4.98,4.47
304,1633,150,177,234,36,105,40,54,71,34,16,40.694548786079295,-73.91683380095799,112634,"Bushwick, Brooklyn",Brooklyn,1450.0,133.0,157.0,14.0,4.65,4.15
305,3512,385,341,386,242,135,166,122,90,125,35,40.668478682662005,-73.87971255837776,182896,"East New York, Starrett City, Brooklyn",Brooklyn,1920.0,211.0,186.0,19.0,6.02,5.37
306,1234,191,258,248,131,138,58,50,97,32,39,40.67637384852616,-73.99445026045218,104709,"Park Slope, Carroll Gardens, Brooklyn",Brooklyn,1179.0,182.0,246.0,37.0,5.37,4.8
